Player,Short Name,Player ID,Birthdate,Team,Team ID,Match,Match ID,Date,Competition,Competition ID,Season,Season ID,Competition Edition ID,Position,Position Group,Minutes,Minutes TIP,Minutes OTIP,Minutes 1,Minutes 1 TIP,Minutes 1 OTIP,Minutes 2,Minutes 2 TIP,Minutes 2 OTIP,Physical Check Passed,Distance,M/min,Running Distance,HSR Distance,HSR Count,Sprint Distance,Sprint Count,HI Distance,HI Count,PSV-99,Medium Acceleration Count,High Acceleration Count,Medium Deceleration Count,High Deceleration Count,Explosive Acceleration to HSR Count,Time to HSR,Time to HSR Post-COD,Explosive Acceleration to Sprint Count,Time to Sprint,Time to Sprint Post-COD,Change of Direction Count,Time to 505 - Around 90,Time to 505 - Around 180,Distance TIP,M/min TIP,Running Distance TIP,HSR Distance TIP,HSR Count TIP,Sprint Distance TIP,Sprint Count TIP,HI Distance TIP,HI Count TIP,Medium Acceleration Count TIP,High Acceleration Count TIP,Medium Deceleration Count TIP,High Deceleration Count TIP,Explosive Acceleration to HSR Count TIP,Explosive Acceleration to Sprint Count TIP,Change of Direction Count TIP,Distance OTIP,M/min OTIP,Running Distance OTIP,HSR Distance OTIP,HSR Count OTIP,Sprint Distance OTIP,Sprint Count OTIP,HI Distance OTIP,HI Count OTIP,Medium Acceleration Count OTIP,High Acceleration Count OTIP,Medium Deceleration Count OTIP,High Deceleration Count OTIP,Explosive Acceleration to HSR Count OTIP,Explosive Acceleration to Sprint Count OTIP,Change of Direction Count OTIP,Distance 1,M/min 1,Running Distance 1,HSR Distance 1,HSR Count 1,Sprint Distance 1,Sprint Count 1,HI Distance 1,HI Count 1,Medium Acceleration Count 1,High Acceleration Count 1,Medium Deceleration Count 1,High Deceleration Count 1,Explosive Acceleration to HSR Count 1,Explosive Acceleration to Sprint Count 1,Change of Direction Count 1,Distance 1 TIP,M/min 1 TIP,Running Distance 1 TIP,HSR Distance 1 TIP,HSR Count 1 TIP,Sprint Distance 1 TIP,Sprint Count 1 TIP,HI Distance 1 TIP,HI Count 1 TIP,Medium Acceleration Count 1 TIP,High Acceleration Count 1 TIP,Medium Deceleration Count 1 TIP,High Deceleration Count 1 TIP,Explosive Acceleration to HSR Count 1 TIP,Explosive Acceleration to Sprint Count 1 TIP,Change of Direction Count 1 TIP,Distance 1 OTIP,M/min 1 OTIP,Running Distance 1 OTIP,HSR Distance 1 OTIP,HSR Count 1 OTIP,Sprint Distance 1 OTIP,Sprint Count 1 OTIP,HI Distance 1 OTIP,HI Count 1 OTIP,Medium Acceleration Count 1 OTIP,High Acceleration Count 1 OTIP,Medium Deceleration Count 1 OTIP,High Deceleration Count 1 OTIP,Explosive Acceleration to HSR Count 1 OTIP,Explosive Acceleration to Sprint Count 1 OTIP,Change of Direction Count 1 OTIP,Distance 2,M/min 2,Running Distance 2,HSR Distance 2,HSR Count 2,Sprint Distance 2,Sprint Count 2,HI Distance 2,HI Count 2,Medium Acceleration Count 2,High Acceleration Count 2,Medium Deceleration Count 2,High Deceleration Count 2,Explosive Acceleration to HSR Count 2,Explosive Acceleration to Sprint Count 2,Change of Direction Count 2,Distance 2 TIP,M/min 2 TIP,Running Distance 2 TIP,HSR Distance 2 TIP,HSR Count 2 TIP,Sprint Distance 2 TIP,Sprint Count 2 TIP,HI Distance 2 TIP,HI Count 2 TIP,Medium Acceleration Count 2 TIP,High Acceleration Count 2 TIP,Medium Deceleration Count 2 TIP,High Deceleration Count 2 TIP,Explosive Acceleration to HSR Count 2 TIP,Explosive Acceleration to Sprint Count 2 TIP,Change of Direction Count 2 TIP,Distance 2 OTIP,M/min 2 OTIP,Running Distance 2 OTIP,HSR Distance 2 OTIP,HSR Count 2 OTIP,Sprint Distance 2 OTIP,Sprint Count 2 OTIP,HI Distance 2 OTIP,HI Count 2 OTIP,Medium Acceleration Count 2 OTIP,High Acceleration Count 2 OTIP,Medium Deceleration Count 2 OTIP,High Deceleration Count 2 OTIP,Explosive Acceleration to HSR Count 2 OTIP,Explosive Acceleration to Sprint Count 2 OTIP,Change of Direction Count 2 OTIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shoma Doi,S. Doi,26876,1992-05-21,Montedio Yamagata,3125,Yokohama FC - Montedio Yamaga,2052915,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Attacking Midfield,Midfield,85.0,14.0,31.23,49.47,8.6,18.35,35.53,5.4,12.88,TRUE,10186.0,119.84,1647.0,653.0,60.0,147.0,8.0,800.0,68.0,27.2,125.0,5.0,98.0,14.0,5.0,0.79,0.79,2.0,1.62,1.62,59.0,1.9,3.1,2320.0,165.71,448.0,286.0,24.0,108.0,6.0,394.0,30.0,35.0,2.0,20.0,2.0,2.0,1.0,12.0,4814.0,154.15,1041.0,361.0,31.0,36.0,1.0,397.0,32.0,52.0,2.0,45.0,6.0,2.0,1.0,41.0,6046.0,122.22,957.0,423.0,37.0,73.0,5.0,496.0,42.0,72.0,2.0,57.0,7.0,2.0,0.0,34.0,1438.0,167.21,269.0,205.0,16.0,65.0,4.0,270.0,20.0,23.0,1.0,12.0,1.0,0.0,0.0,7.0,2828.0,154.11,583.0,213.0,19.0,7.0,0.0,220.0,19.0,30.0,1.0,28.0,3.0,1.0,0.0,26.0,4140.0,116.52,690.0,230.0,23.0,74.0,3.0,304.0,26.0,53.0,3.0,41.0,7.0,3.0,2.0,25.0,882.0,163.33,179.0,81.0,8.0,43.0,2.0,124.0,10.0,12.0,1.0,8.0,1.0,1.0,1.0,5.0,1986.0,154.19,458.0,148.0,12.0,29.0,1.0,177.0,13.0,22.0,1.0,17.0,3.0,1.0,1.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryotaro Nakamura,R. Nakamura,254493,1997-09-27,Montedio Yamagata,3125,Yokohama FC - Montedio Yamaga,2052915,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Right Defensive Midfield,Midfield,99.7,15.92,37.67,49.47,8.6,18.35,50.23,7.32,19.32,TRUE,11749.0,117.84,2043.0,652.0,51.0,84.0,7.0,736.0,58.0,25.9,120.0,6.0,112.0,16.0,3.0,0.84,,0.0,,,35.0,2.03,,2461.0,154.59,480.0,144.0,11.0,12.0,1.0,156.0,12.0,30.0,2.0,21.0,2.0,0.0,0.0,6.0,5906.0,156.78,1356.0,457.0,36.0,59.0,4.0,516.0,40.0,68.0,2.0,64.0,11.0,2.0,0.0,27.0,6027.0,121.83,1075.0,335.0,30.0,47.0,4.0,382.0,34.0,69.0,4.0,57.0,11.0,2.0,0.0,21.0,1367.0,158.95,283.0,60.0,7.0,3.0,1.0,63.0,8.0,17.0,1.0,11.0,1.0,0.0,0.0,3.0,2961.0,161.36,685.0,243.0,21.0,33.0,2.0,276.0,23.0,41.0,1.0,34.0,7.0,1.0,0.0,17.0,5722.0,113.92,968.0,317.0,21.0,37.0,3.0,354.0,24.0,51.0,2.0,55.0,5.0,1.0,0.0,14.0,1094.0,149.45,197.0,84.0,4.0,9.0,0.0,93.0,4.0,13.0,1.0,10.0,1.0,0.0,0.0,3.0,2945.0,152.43,671.0,214.0,15.0,26.0,2.0,240.0,17.0,27.0,1.0,30.0,4.0,1.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuta Kumamoto,Y. Kumamoto,254563,1995-07-18,Montedio Yamagata,3125,Yokohama FC - Montedio Yamaga,2052915,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Right Center Back,Central Defender,99.7,15.92,37.67,49.47,8.6,18.35,50.23,7.32,19.32,TRUE,9883.0,99.13,1357.0,374.0,37.0,80.0,5.0,454.0,42.0,27.2,128.0,6.0,99.0,9.0,3.0,0.8,0.8,0.0,,,28.0,2.28,3.1,2004.0,125.88,352.0,84.0,8.0,11.0,0.0,95.0,8.0,22.0,2.0,15.0,1.0,0.0,0.0,2.0,4925.0,130.74,833.0,254.0,27.0,64.0,3.0,318.0,30.0,72.0,4.0,57.0,7.0,2.0,0.0,24.0,5103.0,103.15,701.0,210.0,21.0,57.0,4.0,267.0,25.0,59.0,3.0,51.0,4.0,1.0,0.0,12.0,1119.0,130.12,177.0,51.0,4.0,6.0,0.0,57.0,4.0,12.0,1.0,9.0,0.0,0.0,0.0,1.0,2450.0,133.51,426.0,126.0,15.0,47.0,2.0,173.0,17.0,35.0,2.0,31.0,3.0,1.0,0.0,10.0,4780.0,95.16,656.0,164.0,16.0,23.0,1.0,187.0,17.0,69.0,3.0,48.0,5.0,2.0,0.0,16.0,885.0,120.9,175.0,33.0,4.0,5.0,0.0,38.0,4.0,10.0,1.0,6.0,1.0,0.0,0.0,1.0,2475.0,128.11,407.0,128.0,12.0,17.0,1.0,145.0,13.0,37.0,2.0,26.0,4.0,1.0,0.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akira Silvano Disaro,A. Disaro,254564,1996-04-02,Montedio Yamagata,3125,Yokohama FC - Montedio Yamaga,2052915,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Center Forward,Center Forward,65.28,10.68,23.88,49.47,8.6,18.35,15.82,2.08,5.53,TRUE,8054.0,123.38,1348.0,597.0,63.0,204.0,13.0,801.0,76.0,28.4,79.0,15.0,64.0,18.0,10.0,0.83,1.04,2.0,1.9,,38.0,2.23,3.18,1824.0,170.79,426.0,229.0,19.0,79.0,5.0,308.0,24.0,22.0,3.0,18.0,4.0,3.0,0.0,13.0,3832.0,160.47,826.0,332.0,34.0,107.0,5.0,439.0,39.0,28.0,8.0,28.0,8.0,5.0,1.0,21.0,6036.0,122.01,970.0,502.0,52.0,187.0,13.0,689.0,65.0,59.0,13.0,47.0,14.0,8.0,2.0,29.0,1421.0,165.23,303.0,186.0,16.0,74.0,5.0,260.0,21.0,17.0,2.0,13.0,3.0,2.0,0.0,9.0,2900.0,158.04,596.0,281.0,28.0,97.0,5.0,378.0,33.0,24.0,8.0,24.0,7.0,5.0,1.0,17.0,2018.0,127.56,378.0,95.0,11.0,17.0,0.0,112.0,11.0,20.0,2.0,17.0,4.0,2.0,0.0,9.0,403.0,193.75,123.0,43.0,3.0,5.0,0.0,48.0,3.0,5.0,1.0,5.0,1.0,1.0,0.0,4.0,932.0,168.54,230.0,51.0,6.0,10.0,0.0,61.0,6.0,4.0,0.0,4.0,1.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tsubasa Terayama,T. Terayama,606623,2000-04-10,Montedio Yamagata,3125,Yokohama FC - Montedio Yamaga,2052915,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Left Defensive Midfield,Midfield,85.0,14.0,31.23,49.47,8.6,18.35,35.53,5.4,12.88,TRUE,10488.0,123.39,1768.0,618.0,62.0,233.0,14.0,851.0,76.0,29.3,107.0,5.0,104.0,14.0,4.0,0.81,0.93,2.0,1.68,1.68,48.0,2.08,2.8,2200.0,157.14,359.0,152.0,13.0,57.0,2.0,209.0,15.0,25.0,2.0,17.0,1.0,0.0,0.0,2.0,5222.0,167.21,1233.0,423.0,45.0,161.0,8.0,584.0,53.0,53.0,1.0,51.0,8.0,1.0,1.0,43.0,6325.0,127.86,1048.0,394.0,38.0,145.0,7.0,539.0,45.0,58.0,2.0,65.0,6.0,2.0,1.0,30.0,1398.0,162.56,250.0,116.0,10.0,43.0,2.0,159.0,12.0,16.0,1.0,12.0,1.0,0.0,0.0,1.0,3078.0,167.74,696.0,242.0,26.0,92.0,3.0,334.0,29.0,31.0,0.0,32.0,4.0,0.0,0.0,28.0,4163.0,117.17,720.0,224.0,24.0,88.0,7.0,312.0,31.0,49.0,3.0,39.0,8.0,2.0,1.0,18.0,802.0,148.52,109.0,36.0,3.0,14.0,0.0,50.0,3.0,9.0,1.0,5.0,0.0,0.0,0.0,1.0,2144.0,166.46,537.0,181.0,19.0,69.0,5.0,250.0,24.0,22.0,1.0,19.0,4.0,0.0,0.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayumu Kawai,A. Kawai,727011,1999-08-12,Montedio Yamagata,3125,Yokohama FC - Montedio Yamaga,2052915,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Right Winger,Wide Attacker,6.58,0.8,2.53,0.0,0.0,0.0,6.58,0.8,2.53,TRUE,836.0,127.05,181.0,96.0,8.0,19.0,1.0,115.0,9.0,26.7,14.0,2.0,8.0,1.0,1.0,1.04,,1.0,2.19,,6.0,2.88,,,,,,,,,,,,,,,,,,426.0,168.38,134.0,65.0,5.0,5.0,0.0,70.0,5.0,3.0,1.0,3.0,1.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,836.0,127.05,181.0,96.0,8.0,19.0,1.0,115.0,9.0,14.0,2.0,8.0,1.0,1.0,1.0,6.0,,,,,,,,,,,,,,,,,426.0,168.38,134.0,65.0,5.0,5.0,0.0,70.0,5.0,3.0,1.0,3.0,1.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shintaro Kokubu,S. Kokubu,727052,1994-08-31,Montedio Yamagata,3125,Yokohama FC - Montedio Yamaga,2052915,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Left Winger,Wide Attacker,65.28,10.68,23.88,49.47,8.6,18.35,15.82,2.08,5.53,TRUE,7729.0,118.4,1290.0,733.0,63.0,197.0,9.0,930.0,72.0,29.9,99.0,9.0,74.0,21.0,5.0,0.88,0.88,1.0,1.7,1.7,46.0,2.43,3.11,1839.0,172.19,413.0,286.0,21.0,102.0,4.0,388.0,25.0,30.0,2.0,15.0,4.0,1.0,0.0,11.0,3495.0,146.36,714.0,415.0,36.0,84.0,4.0,499.0,40.0,40.0,4.0,33.0,10.0,2.0,1.0,33.0,5859.0,118.44,996.0,551.0,50.0,186.0,8.0,737.0,58.0,75.0,6.0,53.0,17.0,4.0,1.0,35.0,1385.0,161.05,289.0,200.0,16.0,92.0,4.0,292.0,20.0,26.0,2.0,12.0,3.0,1.0,0.0,10.0,2652.0,144.52,546.0,324.0,29.0,83.0,4.0,407.0,33.0,31.0,3.0,24.0,8.0,2.0,1.0,24.0,1870.0,118.2,294.0,182.0,13.0,11.0,1.0,193.0,14.0,24.0,3.0,21.0,4.0,1.0,0.0,11.0,454.0,218.27,124.0,86.0,5.0,10.0,0.0,96.0,5.0,4.0,0.0,3.0,1.0,0.0,0.0,1.0,843.0,152.44,168.0,91.0,7.0,1.0,0.0,92.0,7.0,9.0,1.0,9.0,2.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junya  Takahashi,J. Takahashi,727054,1997-05-28,Montedio Yamagata,3125,Yokohama FC - Montedio Yamaga,2052915,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Center Forward,Center Forward,34.42,5.23,13.78,0.0,0.0,0.0,34.42,5.23,13.78,TRUE,4460.0,129.58,845.0,266.0,27.0,66.0,4.0,332.0,31.0,28.7,47.0,7.0,41.0,7.0,4.0,0.71,0.71,0.0,,,19.0,2.46,2.66,951.0,181.84,225.0,92.0,9.0,56.0,2.0,148.0,11.0,12.0,2.0,9.0,2.0,1.0,0.0,5.0,2176.0,157.91,497.0,166.0,16.0,9.0,1.0,175.0,17.0,18.0,3.0,17.0,4.0,2.0,0.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4460.0,129.58,845.0,266.0,27.0,66.0,4.0,332.0,31.0,47.0,7.0,41.0,7.0,4.0,0.0,19.0,951.0,181.84,225.0,92.0,9.0,56.0,2.0,148.0,11.0,12.0,2.0,9.0,2.0,1.0,0.0,5.0,2176.0,157.91,497.0,166.0,16.0,9.0,1.0,175.0,17.0,18.0,3.0,17.0,4.0,2.0,0.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sora  Hiraga,S. Hiraga,736813,2005-03-02,Montedio Yamagata,3125,Yokohama FC - Montedio Yamaga,2052915,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Left Winger,Wide Attacker,34.42,5.23,13.78,0.0,0.0,0.0,34.42,5.23,13.78,TRUE,4080.0,118.54,720.0,297.0,29.0,89.0,6.0,386.0,35.0,27.9,41.0,4.0,42.0,8.0,2.0,0.86,0.93,0.0,,,19.0,2.71,2.66,858.0,164.05,199.0,99.0,9.0,56.0,3.0,155.0,12.0,10.0,2.0,7.0,2.0,1.0,0.0,6.0,2086.0,151.38,458.0,180.0,17.0,29.0,2.0,209.0,19.0,19.0,1.0,20.0,3.0,1.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4080.0,118.54,720.0,297.0,29.0,89.0,6.0,386.0,35.0,41.0,4.0,42.0,8.0,2.0,0.0,19.0,858.0,164.05,199.0,99.0,9.0,56.0,3.0,155.0,12.0,10.0,2.0,7.0,2.0,1.0,0.0,6.0,2086.0,151.38,458.0,180.0,17.0,29.0,2.0,209.0,19.0,19.0,1.0,20.0,3.0,1.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazuma Okamoto,K. Okamoto,789861,2003-09-19,Montedio Yamagata,3125,Yokohama FC - Montedio Yamaga,2052915,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Right Back,Full Back,99.7,15.92,37.67,49.47,8.6,18.35,50.23,7.32,19.32,TRUE,11497.0,115.32,1767.0,613.0,55.0,105.0,9.0,718.0,64.0,26.7,130.0,8.0,102.0,20.0,6.0,0.61,0.61,5.0,1.42,1.62,58.0,1.96,2.94,2555.0,160.49,573.0,217.0,19.0,67.0,4.0,284.0,23.0,31.0,2.0,22.0,4.0,2.0,2.0,12.0,5316.0,141.12,948.0,367.0,32.0,31.0,3.0,398.0,35.0,69.0,4.0,50.0,9.0,2.0,2.0,45.0,5978.0,120.84,1017.0,300.0,29.0,68.0,5.0,368.0,34.0,68.0,3.0,50.0,11.0,2.0,2.0,36.0,1444.0,167.91,370.0,118.0,12.0,53.0,3.0,171.0,15.0,18.0,1.0,12.0,2.0,1.0,1.0,9.0,2603.0,141.85,481.0,165.0,14.0,14.0,1.0,179.0,15.0,34.0,1.0,22.0,5.0,0.0,0.0,26.0,5519.0,109.87,750.0,313.0,26.0,37.0,4.0,350.0,30.0,62.0,5.0,52.0,9.0,4.0,3.0,22.0,1111.0,151.78,203.0,99.0,7.0,14.0,1.0,113.0,8.0,13.0,1.0,10.0,2.0,1.0,1.0,3.0,2713.0,140.42,467.0,202.0,18.0,17.0,2.0,219.0,20.0,35.0,3.0,28.0,4.0,2.0,2.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
